,评论时间,处理内容,评论者IP归属地,评论内容,用户地理位置,评论者性别,情感分析,locations
10,23年04月15日 14:27,别总想着去大城市工作，好好开发研究农业技术，是中国最大的发展潜力。,来自北京,别总想着去大城市工作，好好开发研究农业技术，是中国最大的发展潜力。,其他,男,0.998531303404642,来自北京
11,23年04月15日 15:40,"您好，恭喜您的视频荣登视频飙升榜，社会领域第6名，榜单可在【发现页-视频-视频飙升榜】中展示您的上榜信息，榜单小时级更新请尽快查看哦~快来查看分享你的上榜视频吧~榜单戳》<a target=""_blank"" href=""https://m.weibo.cn/c/wbox?id=uosm91x89b&source=comment&rank_type=H&field=F19&mid=4890786184037685&mark_id=999_reallog_mark_ad%3A999%7CWeiboADNatural""><img class=""icon-link"" title=""http://t.cn/A6Ntj2Aj"" src=""https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png""/>网页链接</a>",来自北京,您好，恭喜您的视频荣登视频飙升榜，社会领域第6名，榜单可在【发现页-视频-视频飙升榜】中展示您的上榜信息，榜单小时级更新请尽快查看哦~快来查看分享你的上榜视频吧~榜单戳》http://t.cn/A6Ntj2Aj,北京,男,5.295333214150322e-05,来自北京
12,23年04月15日 16:14,因为她还处于模仿大人的阶段，她周围没有一个大人从事使用AI工作的职业，所以她误以为世界上不存在这些职业。,来自浙江,因为她还处于模仿大人的阶段，她周围没有一个大人从事使用AI工作的职业，所以她误以为世界上不存在这些职业。,浙江,女,0.9997210022808202,来自浙江
13,23年04月15日 17:25,公司也做ai的 老板天天pua我们；ai什么都会 你们啊不是因为有学历才来这上班 而是社会的福利救了你们 再过几年都用ai 不需要你们了 我心疼你们这帮刚毕业的小孩 收留你们,来自天津,公司也做ai的 老板天天pua我们；ai什么都会 你们啊不是因为有学历才来这上班 而是社会的福利救了你们 再过几年都用ai 不需要你们了 我心疼你们这帮刚毕业的小孩 收留你们,吉林 长春,女,0.675104318147613,来自天津
14,23年04月15日 16:20,中国人始终处于自身制造的焦虑当中,来自江苏,中国人始终处于自身制造的焦虑当中,江苏 南京,男,0.9984831165977873,来自江苏
15,23年04月15日 16:26,"主人还是主人<img alt=""[哆啦A梦害怕]"" title=""[哆啦A梦害怕]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/35/2022_dorashock_org.png"" />",来自广西,主人还是主人[哆啦A梦害怕],广西,男,0.8242207505473075,来自广西
16,23年04月15日 16:20,这有啥好焦虑的有钱就生二胎，没钱就生一胎，AI不能消费，不能消费，替代不了韭菜,来自广东,这有啥好焦虑的有钱就生二胎，没钱就生一胎，AI不能消费，不能消费，替代不了韭菜,其他,男,0.015975582798517074,来自广东
17,23年04月15日 16:05,咱们平常干的工作有啥技术含量吗,来自浙江,咱们平常干的工作有啥技术含量吗,浙江,女,0.17501700311638568,来自浙江
18,23年04月15日 16:18,"浮夸了，小孩都焦虑了<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />",来自江苏,浮夸了，小孩都焦虑了[doge],江苏,男,0.6506056793209991,来自江苏
19,23年04月15日 16:37,"编程我觉得可以学吧，AI就算了<img alt=""[奥特曼]"" title=""[奥特曼]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/c6/2018new_aoteman_org.png"" />",来自山东,编程我觉得可以学吧，AI就算了[奥特曼],山东 济南,男,0.9786365342570326,来自山东
20,23年04月15日 16:53,哎呀我也焦虑,来自浙江,哎呀我也焦虑,浙江 绍兴,女,0.7499999999999999,来自浙江
21,23年04月15日 15:44,"贩卖焦虑<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />",来自四川,贩卖焦虑[允悲],海外 其他,女,0.996207844539862,来自四川
22,23年04月15日 17:23,"人类最后，大概是被自己卷死的吧……<img alt=""[哆啦A梦害怕]"" title=""[哆啦A梦害怕]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/35/2022_dorashock_org.png"" />",来自北京,人类最后，大概是被自己卷死的吧……[哆啦A梦害怕],北京,女,0.871653856006896,来自北京
23,23年04月17日 12:07,高科技高速发展没有什么不合适，如果高科技抢了人们的饭碗，那一定是不合适的，生存为本，民生为大，人人都得吃饭。,来自河南,高科技高速发展没有什么不合适，如果高科技抢了人们的饭碗，那一定是不合适的，生存为本，民生为大，人人都得吃饭。,河南,男,0.9996771445901088,来自河南
24,23年04月16日 05:44,人工智能的发展，会倒逼我们的教育改革，转向重新发现“人”的价值，激发出每个孩子的独特天赋、热情和生命力，培养出能够有别于智能机器，又能与其深度合作的“人”。如果我们的教育还是停留在用一套制式的、标准化的知识体系，把人塑造成机器，那么，孩子们注定会失去未来。,来自黑龙江,人工智能的发展，会倒逼我们的教育改革，转向重新发现“人”的价值，激发出每个孩子的独特天赋、热情和生命力，培养出能够有别于智能机器，又能与其深度合作的“人”。如果我们的教育还是停留在用一套制式的、标准化的知识体系，把人塑造成机器，那么，孩子们注定会失去未来。,黑龙江,男,0.999999999989793,来自黑龙江
25,23年04月15日 15:08,换角度你拥有超级辅助，学好gpt，定所向披靡,来自广东,换角度你拥有超级辅助，学好gpt，定所向披靡,北京,女,0.6594224639346244,来自广东
26,23年04月15日 14:05,好梦，但不是事实,来自北京,好梦，但不是事实,北京,女,0.6813710097424996,来自北京
27,23年04月15日 15:28,"然而现实是 打部分工作都是重复劳动。普通人也确实适合重复劳动。ai降本增效 就业压力就会变大<img alt=""[开学季]"" title=""[开学季]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/72/2021_kaixueji_org.png"" />。包括创意行业",来自广东,然而现实是 打部分工作都是重复劳动。普通人也确实适合重复劳动。ai降本增效 就业压力就会变大[开学季]。包括创意行业,其他,男,0.9999998757023126,来自广东
28,23年04月15日 16:27,能不能不要贩卖焦虑了，还给小孩子压力,来自安徽,能不能不要贩卖焦虑了，还给小孩子压力,其他,女,0.9327367209006376,来自安徽
29,23年04月15日 15:33,我让ChatGPT做了几道数学题，它做错了。,来自重庆,我让ChatGPT做了几道数学题，它做错了。,重庆 江北区,男,0.8074279798685947,来自重庆
30,23年04月15日 15:03,完了，看完这个我更焦虑了,来自河南,完了，看完这个我更焦虑了,河南,女,0.9476528860715838,来自河南
31,23年04月15日 14:35,任务,来自上海,任务,上海 浦东新区,女,0.5262327818078083,来自上海
32,23年04月17日 13:46,你会毕业就失业,来自广东,你会毕业就失业,其他,男,0.7155899278804422,来自广东
33,23年04月16日 09:41,然后爸爸失业了,来自广东,然后爸爸失业了,广东,男,0.9063514491367513,来自广东
34,23年04月16日 07:48,孩子都开始卷了,来自广东,孩子都开始卷了,其他,女,0.7459380603311447,来自广东
35,23年04月15日 23:45,"小小年纪，竟有如此忧患意识，优秀<img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" />",来自四川,小小年纪，竟有如此忧患意识，优秀[打call],四川,男,0.9427714909808408,来自四川
36,23年04月15日 21:27,"<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" /><img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" /><img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />",来自广西,[允悲][允悲][允悲],其他,男,0.9999674091177583,来自广西
37,23年04月15日 20:55,这个没什么，有没有Ai资本家都会保持大量失业人群来进行压迫剥削,来自山东,这个没什么，有没有Ai资本家都会保持大量失业人群来进行压迫剥削,其他,男,0.5740532983237672,来自山东
38,23年04月15日 19:43,太卷了太卷了,来自荷兰,太卷了太卷了,其他,男,0.13672109666587862,来自荷兰
39,23年04月15日 18:57,这个娃娃很早熟啊,来自上海,这个娃娃很早熟啊,上海,女,0.758541635332601,来自上海
40,23年04月15日 18:18,"AI只是没有生命的工具，利用好可以创造更多财富供养社会，但对AI产生焦虑的原因之一，是因为人们担心自己的工具性被取代，自己并不是社会供养的那一批人，也就是说，焦虑中的大多数人现在仅是具有奴隶性的工具<img alt=""[跪了]"" title=""[跪了]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/75/2018new_gui_org.png"" />这个b世界",来自四川,AI只是没有生命的工具，利用好可以创造更多财富供养社会，但对AI产生焦虑的原因之一，是因为人们担心自己的工具性被取代，自己并不是社会供养的那一批人，也就是说，焦虑中的大多数人现在仅是具有奴隶性的工具[跪了]这个b世界,其他,女,0.9999999537308176,来自四川
41,23年04月15日 17:52,"小孩子都有危机感何况大孩子呢<img alt=""[泪]"" title=""[泪]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/6e/2018new_leimu_org.png"" /><img alt=""[泪]"" title=""[泪]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/6e/2018new_leimu_org.png"" />",来自山东,小孩子都有危机感何况大孩子呢[泪][泪],山东,女,0.9974768251502021,来自山东
42,23年04月15日 17:32,"最近好像说很多大学要新增人工智能类的专业<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />",来自河北,最近好像说很多大学要新增人工智能类的专业[doge],河北 唐山,女,0.6343295875055149,来自河北
43,23年04月15日 17:14,人无远虑必有近忧，这个小朋友真的很棒，关注时事,来自河北,人无远虑必有近忧，这个小朋友真的很棒，关注时事,香港 其他,女,0.9903662612189654,来自河北
44,23年04月15日 17:06,当老板别找工作,来自上海,当老板别找工作,上海,男,0.24638604490105764,来自上海
45,23年04月15日 16:51,"Ai做更多事，人类就可以去做更有意义的事了啊，有什么关系呢<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />",来自重庆,Ai做更多事，人类就可以去做更有意义的事了啊，有什么关系呢[doge],重庆,女,0.980443302513141,来自重庆
46,23年04月15日 16:49,"是不是不用生孩子了。机器人代替<img alt=""[哈哈]"" title=""[哈哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8f/2018new_haha_org.png"" /><img alt=""[哈哈]"" title=""[哈哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8f/2018new_haha_org.png"" /><img alt=""[哈哈]"" title=""[哈哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8f/2018new_haha_org.png"" /><img alt=""[哈哈]"" title=""[哈哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8f/2018new_haha_org.png"" />",来自四川,是不是不用生孩子了。机器人代替[哈哈][哈哈][哈哈][哈哈],四川 成都,女,0.6291399122552267,来自四川
47,23年04月15日 16:11,"这样的还焦虑呢<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />",来自天津,这样的还焦虑呢[允悲],天津,女,0.9916186757458912,来自天津
48,23年04月15日 16:09,想太多,来自山西,想太多,其他,女,0.36033221108225666,来自山西
49,23年04月15日 16:04,四川小女孩说的是英语吗？,来自陕西,四川小女孩说的是英语吗？,陕西,男,0.2616150120996523,来自陕西
50,23年04月15日 16:04,"<a href=""//s.weibo.com/weibo?q=%23%E5%B0%8F%E5%AD%A6%E5%A5%B3%E7%94%9F%E5%9B%A0AI%E4%BA%A7%E7%94%9F%E5%B0%B1%E4%B8%9A%E7%84%A6%E8%99%91%23"" target=""_blank"">#小学女生因AI产生就业焦虑#</a> 该有焦虑的应该是他的父母才对",来自广西,#小学女生因AI产生就业焦虑# 该有焦虑的应该是他的父母才对,广西,女,0.9757193314807413,来自广西
51,23年04月15日 15:57,"<a href=""//s.weibo.com/weibo?q=%23%E5%B0%8F%E5%AD%A6%E5%A5%B3%E7%94%9F%E5%9B%A0AI%E4%BA%A7%E7%94%9F%E5%B0%B1%E4%B8%9A%E7%84%A6%E8%99%91%23"" target=""_blank"">#小学女生因AI产生就业焦虑#</a> 所以对于大家的创造力有更高的要求了",来自四川,#小学女生因AI产生就业焦虑# 所以对于大家的创造力有更高的要求了,四川 成都,女,0.9906144569504921,来自四川
52,23年04月15日 15:54,转发微博,来自广东,转发微博,广东 广州,男,0.6438907129142762,来自广东
53,23年04月15日 15:52,"<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" /><img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />",来自江苏,[允悲][允悲],其他,女,0.9990495733077376,来自江苏
54,23年04月15日 15:49,小孩不能拒绝成长，人类不能畏惧进步，大家已经开始不生了……,来自吉林,小孩不能拒绝成长，人类不能畏惧进步，大家已经开始不生了……,其他,女,0.9702872466876962,来自吉林
55,23年04月15日 15:46,"我家小学四年级的小子还惦记每天出去玩泥巴呢<img alt=""[二哈]"" title=""[二哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/22/2018new_erha_org.png"" /><img alt=""[二哈]"" title=""[二哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/22/2018new_erha_org.png"" />",来自辽宁,我家小学四年级的小子还惦记每天出去玩泥巴呢[二哈][二哈],辽宁 大连,女,0.9945830948415029,来自辽宁
56,23年04月15日 15:46,不用焦虑，科技一直在进步，而人也会一直适应科技进步，从而衍生出新的工种,来自北京,不用焦虑，科技一直在进步，而人也会一直适应科技进步，从而衍生出新的工种,北京 昌平区,女,0.9875950557788526,来自北京
57,23年04月15日 15:41,"又上热搜了啊<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />",来自四川,又上热搜了啊[doge],四川 成都,女,0.1837852566881324,来自四川
58,23年04月15日 15:39,"就我关注的点是我以为她是要用四川话说话，结果她talking in engliah<img alt=""[泪]"" title=""[泪]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/6e/2018new_leimu_org.png"" />",来自江西,就我关注的点是我以为她是要用四川话说话，结果她talking in engliah[泪],其他,男,0.9828335858581307,来自江西
59,23年04月15日 15:37,不是 这么小的孩子英语说的这么好,来自河南,不是 这么小的孩子英语说的这么好,河南,女,0.5310202702792657,来自河南
60,23年04月15日 15:37,啥时候AI能生孩子,来自内蒙古,啥时候AI能生孩子,吉林 通化,男,0.7773955117548075,来自内蒙古
61,23年04月15日 15:21,英语说的好,来自福建,英语说的好,福建 福州,男,0.5262782385877478,来自福建
62,23年04月15日 15:19,当然支持！,来自山东,当然支持！,其他,男,0.626712328767123,来自山东
63,23年04月15日 15:16,是绣英语吗？还是父亲是外国人？,来自山东,是绣英语吗？还是父亲是外国人？,其他,男,0.8458185337742264,来自山东
64,23年04月15日 15:14,小姑娘你是对的,来自江西,小姑娘你是对的,江西 上饶,女,0.48,来自江西
65,23年04月15日 15:11,好好学以后才能成为主人,来自江苏,好好学以后才能成为主人,江苏 常州,男,0.7349562825711226,来自江苏
66,23年04月15日 15:02,AI不能消费,来自江西,AI不能消费,北京 房山区,男,0.13760406331912134,来自江西
67,23年04月15日 14:58,焦虑什么，生产力发展了只能是生活越来越好，蒸汽机发明不是照样提高生产力，手工工作不需要人来做了，,来自河北,焦虑什么，生产力发展了只能是生活越来越好，蒸汽机发明不是照样提高生产力，手工工作不需要人来做了，,其他,男,0.5349226597213937,来自河北
68,23年04月15日 14:53,危机,来自河北,危机,河北 石家庄,男,0.9791666666666667,来自河北
69,23年04月15日 14:50,以后高考试题形式也会变，单靠刷题是拿不了高分的！,来自上海,以后高考试题形式也会变，单靠刷题是拿不了高分的！,上海,男,0.998112554981862,来自上海
70,23年04月15日 14:44,"广告<img alt=""[good]"" title=""[good]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_good_org.png"" /><img alt=""[good]"" title=""[good]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_good_org.png"" /><img alt=""[good]"" title=""[good]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_good_org.png"" />",来自北京,广告[good][good][good],北京 海淀区,男,0.29354730240147064,来自北京
71,23年04月15日 14:39,"有压力了<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />",来自四川,有压力了[允悲],其他,男,0.9934340427571279,来自四川
72,23年04月15日 14:26,"我小时候也这样<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />现在 躺平   无所谓",来自广东,我小时候也这样[允悲]现在 躺平   无所谓,广东 广州,女,0.9899853461937986,来自广东
73,23年04月15日 14:21,"<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />",来自北京,[doge],黑龙江 黑河,男,0.5,来自北京
74,23年04月15日 14:19,为什么当年电脑出来时候我们没有现在这么焦虑呢,来自广东,为什么当年电脑出来时候我们没有现在这么焦虑呢,广东,男,0.8743547140502123,来自广东
75,23年04月15日 18:15,"妹妹不用担心你那辈没那么多人口抢工作<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />",来自四川,妹妹不用担心你那辈没那么多人口抢工作[doge],四川,男,0.7884952747484917,来自四川
76,23年04月15日 17:12,人工智能真的会改变很多原有的规则,来自浙江,人工智能真的会改变很多原有的规则,浙江,男,0.9319894057306695,来自浙江
77,23年04月15日 16:03,"贩卖焦虑<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" /><img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" /><img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" /><img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />",来自安徽,贩卖焦虑[doge][doge][doge][doge],北京 东城区,女,0.8794433566334721,来自安徽
78,23年04月17日 12:08,"<a href=/n/芋泥波波冰- usercard=""name=@芋泥波波冰-"">@芋泥波波冰-</a>  哇，说的好好",来自安徽,@芋泥波波冰-  哇，说的好好,山西 晋中,男,0.9077274016643624,来自安徽
79,23年04月16日 23:55,"这英文？<img alt=""[思考]"" title=""[思考]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/30/2018new_sikao_org.png"" />是配音吗，作为国人英语也好的太过分了吧",来自河南,这英文？[思考]是配音吗，作为国人英语也好的太过分了吧,新疆,男,0.44538801904906455,来自河南
80,23年04月16日 12:20,"确定是ai的主人么<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />",来自上海,确定是ai的主人么[doge],其他,男,0.5746308593108036,来自上海
81,23年04月16日 08:27,这是四川的女生吗？英语这么正宗！,来自四川,这是四川的女生吗？英语这么正宗！,四川 成都,男,0.25341220063205816,来自四川
82,23年04月16日 07:58,"我说实话，读书这么多年，她口音比我标准<img alt=""[二哈]"" title=""[二哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/22/2018new_erha_org.png"" /><img alt=""[二哈]"" title=""[二哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/22/2018new_erha_org.png"" />。",来自美国,我说实话，读书这么多年，她口音比我标准[二哈][二哈]。,海外,男,0.7778957706538236,来自美国
83,23年04月16日 06:58,"<a href=/n/Mshoki usercard=""name=@Mshoki"">@Mshoki</a>",来自江西,@Mshoki,江西 南昌,女,0.5,来自江西
84,23年04月16日 06:56,"<img alt=""[笑cry]"" title=""[笑cry]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/4a/2018new_xiaoku_thumb.png"" />",来自北京,[笑cry],北京,女,0.6774921075767265,来自北京
85,23年04月15日 23:33,爸爸说得狠对。,来自云南,爸爸说得狠对。,云南 昆明,男,0.6319578551242621,来自云南
86,23年04月15日 22:52,工业革命？ridiculous,来自四川,工业革命？ridiculous,四川 成都,男,0.4737672181921908,来自四川
87,23年04月15日 22:37,"不看地区，我以为是外籍华人呢，一口流利的英文<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />",来自新疆,不看地区，我以为是外籍华人呢，一口流利的英文[允悲],其他,女,0.9968668360167839,来自新疆
88,23年04月15日 22:35,其实我也会觉得ai会替代一些人类的事情。我们这一代感觉很多很会失业。我自己的想法,来自浙江,其实我也会觉得ai会替代一些人类的事情。我们这一代感觉很多很会失业。我自己的想法,浙江 温州,女,0.9999451798620981,来自浙江
89,23年04月15日 21:36,10年后ai太多了，一大半都找不到工作，可以当丫鬟保姆。,来自江苏,10年后ai太多了，一大半都找不到工作，可以当丫鬟保姆。,其他,男,0.028828671966344088,来自江苏
90,23年04月15日 21:34,"为什么她这么大英文会这么流利<img alt=""[泪]"" title=""[泪]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/6e/2018new_leimu_org.png"" />羡慕死谁啊",来自四川,为什么她这么大英文会这么流利[泪]羡慕死谁啊,四川 成都,女,0.9931196526037975,来自四川
91,23年04月15日 21:34,这周流行auto-gpt,来自广东,这周流行auto-gpt,广东 汕尾,男,0.46014533816247827,来自广东
92,23年04月15日 20:54,"Al可以代替直播了<img alt=""[举手]"" title=""[举手]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/fd/2022_raisehand_org.png"" /><img alt=""[举手]"" title=""[举手]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/fd/2022_raisehand_org.png"" />",来自江西,Al可以代替直播了[举手][举手],江西 南昌,男,0.8401482148303173,来自江西
93,23年04月15日 20:41,"别怕，以后拧螺丝都比人家做文件的工资高<img alt=""[抱一抱]"" title=""[抱一抱]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/af/2020_hug_org.png"" />",来自江苏,别怕，以后拧螺丝都比人家做文件的工资高[抱一抱],广东 深圳,男,0.28652747478038354,来自江苏
94,23年04月15日 19:20,"<img alt=""[微笑]"" title=""[微笑]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e3/2018new_weixioa02_org.png"" />当一个话题价值不大时就让小孩来表演。",来自四川,[微笑]当一个话题价值不大时就让小孩来表演。,四川 成都,女,0.9227303935180121,来自四川
95,23年04月15日 19:08,"这孩子是不是上回用英语聊三国那个<img alt=""[可爱]"" title=""[可爱]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/09/2018new_keai_org.png"" />",来自四川,这孩子是不是上回用英语聊三国那个[可爱],四川 成都,女,0.6452930431288623,来自四川
96,23年04月15日 19:02,焦虑得也太早了吧？先担心一下作业吧！,来自四川,焦虑得也太早了吧？先担心一下作业吧！,其他,女,0.9051702689080162,来自四川
97,23年04月15日 18:57,太卷了,来自吉林,太卷了,海外,女,0.29548665553120224,来自吉林
98,23年04月15日 18:34,"妹妹，最惨的是我们这种应届毕业生<img alt=""[泪]"" title=""[泪]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/6e/2018new_leimu_org.png"" />",来自广东,妹妹，最惨的是我们这种应届毕业生[泪],广东 广州,女,0.9904484335223225,来自广东
99,23年04月15日 18:31,"装逼怪<img alt=""[赞]"" title=""[赞]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e6/2018new_zan_org.png"" />",来自四川,装逼怪[赞],重庆,男,0.8322941231506528,来自四川
100,23年04月15日 18:27,AI确实越来越强大了…害怕,来自海南,AI确实越来越强大了…害怕,上海,女,0.81522026428822,来自海南
