评论时间,处理内容,评论者IP归属地,评论内容,用户地理位置,评论者性别
23年04月15日 14:27,别总想着去大城市工作，好好开发研究农业技术，是中国最大的发展潜力。,来自北京,别总想着去大城市工作，好好开发研究农业技术，是中国最大的发展潜力。,其他,男
23年04月15日 15:40,"您好，恭喜您的视频荣登视频飙升榜，社会领域第6名，榜单可在【发现页-视频-视频飙升榜】中展示您的上榜信息，榜单小时级更新请尽快查看哦~快来查看分享你的上榜视频吧~榜单戳》<a target=""_blank"" href=""https://m.weibo.cn/c/wbox?id=uosm91x89b&source=comment&rank_type=H&field=F19&mid=4890786184037685&mark_id=999_reallog_mark_ad%3A999%7CWeiboADNatural""><img class=""icon-link"" title=""http://t.cn/A6Ntj2Aj"" src=""https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png""/>网页链接</a>",来自北京,您好，恭喜您的视频荣登视频飙升榜，社会领域第6名，榜单可在【发现页-视频-视频飙升榜】中展示您的上榜信息，榜单小时级更新请尽快查看哦~快来查看分享你的上榜视频吧~榜单戳》http://t.cn/A6Ntj2Aj,北京,男
23年04月15日 16:14,因为她还处于模仿大人的阶段，她周围没有一个大人从事使用AI工作的职业，所以她误以为世界上不存在这些职业。,来自浙江,因为她还处于模仿大人的阶段，她周围没有一个大人从事使用AI工作的职业，所以她误以为世界上不存在这些职业。,浙江,女
23年04月15日 17:25,公司也做ai的 老板天天pua我们；ai什么都会 你们啊不是因为有学历才来这上班 而是社会的福利救了你们 再过几年都用ai 不需要你们了 我心疼你们这帮刚毕业的小孩 收留你们,来自天津,公司也做ai的 老板天天pua我们；ai什么都会 你们啊不是因为有学历才来这上班 而是社会的福利救了你们 再过几年都用ai 不需要你们了 我心疼你们这帮刚毕业的小孩 收留你们,吉林 长春,女
23年04月15日 16:20,中国人始终处于自身制造的焦虑当中,来自江苏,中国人始终处于自身制造的焦虑当中,江苏 南京,男
23年04月15日 16:26,"主人还是主人<img alt=""[哆啦A梦害怕]"" title=""[哆啦A梦害怕]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/35/2022_dorashock_org.png"" />",来自广西,主人还是主人[哆啦A梦害怕],广西,男
23年04月15日 16:20,这有啥好焦虑的有钱就生二胎，没钱就生一胎，AI不能消费，不能消费，替代不了韭菜,来自广东,这有啥好焦虑的有钱就生二胎，没钱就生一胎，AI不能消费，不能消费，替代不了韭菜,其他,男
23年04月15日 16:05,咱们平常干的工作有啥技术含量吗,来自浙江,咱们平常干的工作有啥技术含量吗,浙江,女
23年04月15日 16:18,"浮夸了，小孩都焦虑了<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />",来自江苏,浮夸了，小孩都焦虑了[doge],江苏,男
23年04月15日 16:37,"编程我觉得可以学吧，AI就算了<img alt=""[奥特曼]"" title=""[奥特曼]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/c6/2018new_aoteman_org.png"" />",来自山东,编程我觉得可以学吧，AI就算了[奥特曼],山东 济南,男
23年04月15日 16:53,哎呀我也焦虑,来自浙江,哎呀我也焦虑,浙江 绍兴,女
23年04月15日 15:44,"贩卖焦虑<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />",来自四川,贩卖焦虑[允悲],海外 其他,女
23年04月15日 17:23,"人类最后，大概是被自己卷死的吧……<img alt=""[哆啦A梦害怕]"" title=""[哆啦A梦害怕]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/35/2022_dorashock_org.png"" />",来自北京,人类最后，大概是被自己卷死的吧……[哆啦A梦害怕],北京,女
23年04月17日 12:07,高科技高速发展没有什么不合适，如果高科技抢了人们的饭碗，那一定是不合适的，生存为本，民生为大，人人都得吃饭。,来自河南,高科技高速发展没有什么不合适，如果高科技抢了人们的饭碗，那一定是不合适的，生存为本，民生为大，人人都得吃饭。,河南,男
23年04月16日 05:44,人工智能的发展，会倒逼我们的教育改革，转向重新发现“人”的价值，激发出每个孩子的独特天赋、热情和生命力，培养出能够有别于智能机器，又能与其深度合作的“人”。如果我们的教育还是停留在用一套制式的、标准化的知识体系，把人塑造成机器，那么，孩子们注定会失去未来。,来自黑龙江,人工智能的发展，会倒逼我们的教育改革，转向重新发现“人”的价值，激发出每个孩子的独特天赋、热情和生命力，培养出能够有别于智能机器，又能与其深度合作的“人”。如果我们的教育还是停留在用一套制式的、标准化的知识体系，把人塑造成机器，那么，孩子们注定会失去未来。,黑龙江,男
23年04月15日 15:08,换角度你拥有超级辅助，学好gpt，定所向披靡,来自广东,换角度你拥有超级辅助，学好gpt，定所向披靡,北京,女
23年04月15日 14:05,好梦，但不是事实,来自北京,好梦，但不是事实,北京,女
23年04月15日 15:28,"然而现实是 打部分工作都是重复劳动。普通人也确实适合重复劳动。ai降本增效 就业压力就会变大<img alt=""[开学季]"" title=""[开学季]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/72/2021_kaixueji_org.png"" />。包括创意行业",来自广东,然而现实是 打部分工作都是重复劳动。普通人也确实适合重复劳动。ai降本增效 就业压力就会变大[开学季]。包括创意行业,其他,男
23年04月15日 16:27,能不能不要贩卖焦虑了，还给小孩子压力,来自安徽,能不能不要贩卖焦虑了，还给小孩子压力,其他,女
23年04月15日 15:33,我让ChatGPT做了几道数学题，它做错了。,来自重庆,我让ChatGPT做了几道数学题，它做错了。,重庆 江北区,男
23年04月15日 15:03,完了，看完这个我更焦虑了,来自河南,完了，看完这个我更焦虑了,河南,女
23年04月15日 14:35,任务,来自上海,任务,上海 浦东新区,女
23年04月17日 13:46,你会毕业就失业,来自广东,你会毕业就失业,其他,男
23年04月16日 09:41,然后爸爸失业了,来自广东,然后爸爸失业了,广东,男
23年04月16日 07:48,孩子都开始卷了,来自广东,孩子都开始卷了,其他,女
23年04月15日 23:45,"小小年纪，竟有如此忧患意识，优秀<img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" />",来自四川,小小年纪，竟有如此忧患意识，优秀[打call],四川,男
23年04月15日 21:27,"<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" /><img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" /><img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />",来自广西,[允悲][允悲][允悲],其他,男
23年04月15日 20:55,这个没什么，有没有Ai资本家都会保持大量失业人群来进行压迫剥削,来自山东,这个没什么，有没有Ai资本家都会保持大量失业人群来进行压迫剥削,其他,男
23年04月15日 19:43,太卷了太卷了,来自荷兰,太卷了太卷了,其他,男
23年04月15日 18:57,这个娃娃很早熟啊,来自上海,这个娃娃很早熟啊,上海,女
23年04月15日 18:18,"AI只是没有生命的工具，利用好可以创造更多财富供养社会，但对AI产生焦虑的原因之一，是因为人们担心自己的工具性被取代，自己并不是社会供养的那一批人，也就是说，焦虑中的大多数人现在仅是具有奴隶性的工具<img alt=""[跪了]"" title=""[跪了]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/75/2018new_gui_org.png"" />这个b世界",来自四川,AI只是没有生命的工具，利用好可以创造更多财富供养社会，但对AI产生焦虑的原因之一，是因为人们担心自己的工具性被取代，自己并不是社会供养的那一批人，也就是说，焦虑中的大多数人现在仅是具有奴隶性的工具[跪了]这个b世界,其他,女
23年04月15日 17:52,"小孩子都有危机感何况大孩子呢<img alt=""[泪]"" title=""[泪]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/6e/2018new_leimu_org.png"" /><img alt=""[泪]"" title=""[泪]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/6e/2018new_leimu_org.png"" />",来自山东,小孩子都有危机感何况大孩子呢[泪][泪],山东,女
23年04月15日 17:32,"最近好像说很多大学要新增人工智能类的专业<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />",来自河北,最近好像说很多大学要新增人工智能类的专业[doge],河北 唐山,女
23年04月15日 17:14,人无远虑必有近忧，这个小朋友真的很棒，关注时事,来自河北,人无远虑必有近忧，这个小朋友真的很棒，关注时事,香港 其他,女
23年04月15日 17:06,当老板别找工作,来自上海,当老板别找工作,上海,男
23年04月15日 16:51,"Ai做更多事，人类就可以去做更有意义的事了啊，有什么关系呢<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />",来自重庆,Ai做更多事，人类就可以去做更有意义的事了啊，有什么关系呢[doge],重庆,女
23年04月15日 16:49,"是不是不用生孩子了。机器人代替<img alt=""[哈哈]"" title=""[哈哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8f/2018new_haha_org.png"" /><img alt=""[哈哈]"" title=""[哈哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8f/2018new_haha_org.png"" /><img alt=""[哈哈]"" title=""[哈哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8f/2018new_haha_org.png"" /><img alt=""[哈哈]"" title=""[哈哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8f/2018new_haha_org.png"" />",来自四川,是不是不用生孩子了。机器人代替[哈哈][哈哈][哈哈][哈哈],四川 成都,女
23年04月15日 16:11,"这样的还焦虑呢<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />",来自天津,这样的还焦虑呢[允悲],天津,女
23年04月15日 16:09,想太多,来自山西,想太多,其他,女
23年04月15日 16:04,四川小女孩说的是英语吗？,来自陕西,四川小女孩说的是英语吗？,陕西,男
23年04月15日 16:04,"<a href=""//s.weibo.com/weibo?q=%23%E5%B0%8F%E5%AD%A6%E5%A5%B3%E7%94%9F%E5%9B%A0AI%E4%BA%A7%E7%94%9F%E5%B0%B1%E4%B8%9A%E7%84%A6%E8%99%91%23"" target=""_blank"">#小学女生因AI产生就业焦虑#</a> 该有焦虑的应该是他的父母才对",来自广西,#小学女生因AI产生就业焦虑# 该有焦虑的应该是他的父母才对,广西,女
23年04月15日 15:57,"<a href=""//s.weibo.com/weibo?q=%23%E5%B0%8F%E5%AD%A6%E5%A5%B3%E7%94%9F%E5%9B%A0AI%E4%BA%A7%E7%94%9F%E5%B0%B1%E4%B8%9A%E7%84%A6%E8%99%91%23"" target=""_blank"">#小学女生因AI产生就业焦虑#</a> 所以对于大家的创造力有更高的要求了",来自四川,#小学女生因AI产生就业焦虑# 所以对于大家的创造力有更高的要求了,四川 成都,女
23年04月15日 15:54,转发微博,来自广东,转发微博,广东 广州,男
23年04月15日 15:52,"<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" /><img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />",来自江苏,[允悲][允悲],其他,女
23年04月15日 15:49,小孩不能拒绝成长，人类不能畏惧进步，大家已经开始不生了……,来自吉林,小孩不能拒绝成长，人类不能畏惧进步，大家已经开始不生了……,其他,女
23年04月15日 15:46,"我家小学四年级的小子还惦记每天出去玩泥巴呢<img alt=""[二哈]"" title=""[二哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/22/2018new_erha_org.png"" /><img alt=""[二哈]"" title=""[二哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/22/2018new_erha_org.png"" />",来自辽宁,我家小学四年级的小子还惦记每天出去玩泥巴呢[二哈][二哈],辽宁 大连,女
23年04月15日 15:46,不用焦虑，科技一直在进步，而人也会一直适应科技进步，从而衍生出新的工种,来自北京,不用焦虑，科技一直在进步，而人也会一直适应科技进步，从而衍生出新的工种,北京 昌平区,女
23年04月15日 15:41,"又上热搜了啊<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />",来自四川,又上热搜了啊[doge],四川 成都,女
23年04月15日 15:39,"就我关注的点是我以为她是要用四川话说话，结果她talking in engliah<img alt=""[泪]"" title=""[泪]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/6e/2018new_leimu_org.png"" />",来自江西,就我关注的点是我以为她是要用四川话说话，结果她talking in engliah[泪],其他,男
23年04月15日 15:37,不是 这么小的孩子英语说的这么好,来自河南,不是 这么小的孩子英语说的这么好,河南,女
23年04月15日 15:37,啥时候AI能生孩子,来自内蒙古,啥时候AI能生孩子,吉林 通化,男
23年04月15日 15:21,英语说的好,来自福建,英语说的好,福建 福州,男
23年04月15日 15:19,当然支持！,来自山东,当然支持！,其他,男
23年04月15日 15:16,是绣英语吗？还是父亲是外国人？,来自山东,是绣英语吗？还是父亲是外国人？,其他,男
23年04月15日 15:14,小姑娘你是对的,来自江西,小姑娘你是对的,江西 上饶,女
23年04月15日 15:11,好好学以后才能成为主人,来自江苏,好好学以后才能成为主人,江苏 常州,男
23年04月15日 15:02,AI不能消费,来自江西,AI不能消费,北京 房山区,男
23年04月15日 14:58,焦虑什么，生产力发展了只能是生活越来越好，蒸汽机发明不是照样提高生产力，手工工作不需要人来做了，,来自河北,焦虑什么，生产力发展了只能是生活越来越好，蒸汽机发明不是照样提高生产力，手工工作不需要人来做了，,其他,男
23年04月15日 14:53,危机,来自河北,危机,河北 石家庄,男
23年04月15日 14:50,以后高考试题形式也会变，单靠刷题是拿不了高分的！,来自上海,以后高考试题形式也会变，单靠刷题是拿不了高分的！,上海,男
23年04月15日 14:44,"广告<img alt=""[good]"" title=""[good]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_good_org.png"" /><img alt=""[good]"" title=""[good]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_good_org.png"" /><img alt=""[good]"" title=""[good]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_good_org.png"" />",来自北京,广告[good][good][good],北京 海淀区,男
23年04月15日 14:39,"有压力了<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />",来自四川,有压力了[允悲],其他,男
23年04月15日 14:26,"我小时候也这样<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />现在 躺平   无所谓",来自广东,我小时候也这样[允悲]现在 躺平   无所谓,广东 广州,女
23年04月15日 14:21,"<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />",来自北京,[doge],黑龙江 黑河,男
23年04月15日 14:19,为什么当年电脑出来时候我们没有现在这么焦虑呢,来自广东,为什么当年电脑出来时候我们没有现在这么焦虑呢,广东,男
23年04月15日 18:15,"妹妹不用担心你那辈没那么多人口抢工作<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />",来自四川,妹妹不用担心你那辈没那么多人口抢工作[doge],四川,男
23年04月15日 17:12,人工智能真的会改变很多原有的规则,来自浙江,人工智能真的会改变很多原有的规则,浙江,男
23年04月15日 16:03,"贩卖焦虑<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" /><img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" /><img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" /><img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />",来自安徽,贩卖焦虑[doge][doge][doge][doge],北京 东城区,女
23年04月17日 12:08,"<a href=/n/芋泥波波冰- usercard=""name=@芋泥波波冰-"">@芋泥波波冰-</a>  哇，说的好好",来自安徽,@芋泥波波冰-  哇，说的好好,山西 晋中,男
23年04月16日 23:55,"这英文？<img alt=""[思考]"" title=""[思考]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/30/2018new_sikao_org.png"" />是配音吗，作为国人英语也好的太过分了吧",来自河南,这英文？[思考]是配音吗，作为国人英语也好的太过分了吧,新疆,男
23年04月16日 12:20,"确定是ai的主人么<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />",来自上海,确定是ai的主人么[doge],其他,男
23年04月16日 08:27,这是四川的女生吗？英语这么正宗！,来自四川,这是四川的女生吗？英语这么正宗！,四川 成都,男
23年04月16日 07:58,"我说实话，读书这么多年，她口音比我标准<img alt=""[二哈]"" title=""[二哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/22/2018new_erha_org.png"" /><img alt=""[二哈]"" title=""[二哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/22/2018new_erha_org.png"" />。",来自美国,我说实话，读书这么多年，她口音比我标准[二哈][二哈]。,海外,男
23年04月16日 06:58,"<a href=/n/Mshoki usercard=""name=@Mshoki"">@Mshoki</a>",来自江西,@Mshoki,江西 南昌,女
23年04月16日 06:56,"<img alt=""[笑cry]"" title=""[笑cry]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/4a/2018new_xiaoku_thumb.png"" />",来自北京,[笑cry],北京,女
23年04月15日 23:33,爸爸说得狠对。,来自云南,爸爸说得狠对。,云南 昆明,男
23年04月15日 22:52,工业革命？ridiculous,来自四川,工业革命？ridiculous,四川 成都,男
23年04月15日 22:37,"不看地区，我以为是外籍华人呢，一口流利的英文<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />",来自新疆,不看地区，我以为是外籍华人呢，一口流利的英文[允悲],其他,女
23年04月15日 22:35,其实我也会觉得ai会替代一些人类的事情。我们这一代感觉很多很会失业。我自己的想法,来自浙江,其实我也会觉得ai会替代一些人类的事情。我们这一代感觉很多很会失业。我自己的想法,浙江 温州,女
23年04月15日 21:36,10年后ai太多了，一大半都找不到工作，可以当丫鬟保姆。,来自江苏,10年后ai太多了，一大半都找不到工作，可以当丫鬟保姆。,其他,男
23年04月15日 21:34,"为什么她这么大英文会这么流利<img alt=""[泪]"" title=""[泪]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/6e/2018new_leimu_org.png"" />羡慕死谁啊",来自四川,为什么她这么大英文会这么流利[泪]羡慕死谁啊,四川 成都,女
23年04月15日 21:34,这周流行auto-gpt,来自广东,这周流行auto-gpt,广东 汕尾,男
23年04月15日 20:54,"Al可以代替直播了<img alt=""[举手]"" title=""[举手]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/fd/2022_raisehand_org.png"" /><img alt=""[举手]"" title=""[举手]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/fd/2022_raisehand_org.png"" />",来自江西,Al可以代替直播了[举手][举手],江西 南昌,男
23年04月15日 20:41,"别怕，以后拧螺丝都比人家做文件的工资高<img alt=""[抱一抱]"" title=""[抱一抱]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/af/2020_hug_org.png"" />",来自江苏,别怕，以后拧螺丝都比人家做文件的工资高[抱一抱],广东 深圳,男
23年04月15日 19:20,"<img alt=""[微笑]"" title=""[微笑]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e3/2018new_weixioa02_org.png"" />当一个话题价值不大时就让小孩来表演。",来自四川,[微笑]当一个话题价值不大时就让小孩来表演。,四川 成都,女
23年04月15日 19:08,"这孩子是不是上回用英语聊三国那个<img alt=""[可爱]"" title=""[可爱]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/09/2018new_keai_org.png"" />",来自四川,这孩子是不是上回用英语聊三国那个[可爱],四川 成都,女
23年04月15日 19:02,焦虑得也太早了吧？先担心一下作业吧！,来自四川,焦虑得也太早了吧？先担心一下作业吧！,其他,女
23年04月15日 18:57,太卷了,来自吉林,太卷了,海外,女
23年04月15日 18:34,"妹妹，最惨的是我们这种应届毕业生<img alt=""[泪]"" title=""[泪]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/6e/2018new_leimu_org.png"" />",来自广东,妹妹，最惨的是我们这种应届毕业生[泪],广东 广州,女
23年04月15日 18:31,"装逼怪<img alt=""[赞]"" title=""[赞]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e6/2018new_zan_org.png"" />",来自四川,装逼怪[赞],重庆,男
23年04月15日 18:27,AI确实越来越强大了…害怕,来自海南,AI确实越来越强大了…害怕,上海,女
23年04月15日 18:19,啥都不学就不焦虑了。,来自上海,啥都不学就不焦虑了。,上海 浦东新区,男
23年04月15日 18:05,差不多的了,来自安徽,差不多的了,其他,男
23年04月15日 17:54,转发微博,来自河南,转发微博,河南,女
23年04月15日 17:26,转发微博,来自河南,转发微博,河南,女
23年04月15日 17:25,孩子不用担心，你可以研究断电和不断电的内容。从源头拿捏人工智能。,来自上海,孩子不用担心，你可以研究断电和不断电的内容。从源头拿捏人工智能。,上海 浦东新区,男
23年04月15日 17:23,这个问题还是留给围棋界焦虑吧，他们是最先被ai搞死的,来自重庆,这个问题还是留给围棋界焦虑吧，他们是最先被ai搞死的,重庆 南岸区,女
23年04月15日 17:16,有啥焦虑的 又不是跟机器人比,来自福建,有啥焦虑的 又不是跟机器人比,湖北,男
23年04月15日 17:00,幸好我是制造业技术工种，Ai暂时还找不到代替人工制造吧？,来自上海,幸好我是制造业技术工种，Ai暂时还找不到代替人工制造吧？,上海 徐汇区,男
23年04月15日 16:51,AI并不能自主完成工作，还是得一步步下指令的,来自内蒙古,AI并不能自主完成工作，还是得一步步下指令的,海外 斯洛文尼亚,男
23年04月15日 16:39,"她其实说的没错<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" /><img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" /><img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />我现在每天日报 周报 PPT 都是用的chatgpt",来自湖南,她其实说的没错[doge][doge][doge]我现在每天日报 周报 PPT 都是用的chatgpt,湖南 长沙,男
23年04月15日 16:39,"AI这么强大，那我还能安稳的打工到领养老金吗<img alt=""[泪]"" title=""[泪]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/6e/2018new_leimu_org.png"" />",来自广东,AI这么强大，那我还能安稳的打工到领养老金吗[泪],广东 广州,女
23年04月15日 16:32,转发微博,来自山东,转发微博,山东 济南,女
23年04月15日 16:19,为什么这么小就想工作,来自湖南,为什么这么小就想工作,湖南 长沙,女
23年04月15日 16:16,我的天,来自广东,我的天,其他,男
23年04月15日 16:10,我也焦虑，我专业就是人工智能，除非考研考的好，不然都找不到对应的工作,来自河北,我也焦虑，我专业就是人工智能，除非考研考的好，不然都找不到对应的工作,其他,女
23年04月15日 16:07,"<a href=""//s.weibo.com/weibo?q=%23%E5%B0%8F%E5%AD%A6%E5%A5%B3%E7%94%9F%E5%9B%A0AI%E4%BA%A7%E7%94%9F%E5%B0%B1%E4%B8%9A%E7%84%A6%E8%99%91%23"" target=""_blank"">#小学女生因AI产生就业焦虑#</a>科学发展飞速，现在的孩子压力也很大",来自山东,#小学女生因AI产生就业焦虑#科学发展飞速，现在的孩子压力也很大,河北 沧州,男
23年04月15日 15:42,哈哈，惨了,来自北京,哈哈，惨了,其他,男
23年04月15日 15:36,"<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />想象？这位家长有点异想天开嗷 作业都做不完",来自福建,[doge]想象？这位家长有点异想天开嗷 作业都做不完,其他,男
