评论时间,评论者IP归属地,评论内容
2024-6-29 16:36,来自北京,6应该不会，感觉AI替代更多是脑力劳动者。9也不会，出的起彩礼的应该更不会想结婚
2024-9-10 23:16,来自湖南,985都不行了，那其他大学生只能去卖了
2024-9-11 1:04,来自广西,985还没见到混得低于平均水平的，如果有，来找我，马上提供高于南宁平均水平的工作机会
2024-3-27 18:53,来自广东,985也这样，离谱
2024-8-18 7:45,来自广东,98年找工作不好找，那不是事实吧
2024-5-27 6:00,来自辽宁,99年本科扩招毕业生刚好碰上wto的红利，现在的研究生扩招还有这样的机遇吗？
2024-5-30 13:21,来自上海,AI 是全球性竞争，虽然有数据主权，但是高度垄断。人力规模不会很大。案例不具备普遍性。
2024-6-8 13:36,来自上海,ai+crypto，有天赋的话，上学+工作十年就可以财富自由
2024-9-14 9:37,来自陕西,bank ing
2024-7-20 15:37,来自广东,B站300多万粉
2024-7-21 11:16,来自云南,B站上有他的课吗？
2024-9-8 15:58,来自湖南,b站有个浙大的搞计算机视觉的up叫做“浙大it打工仔”，配合视频内容以及评论区信息食用效果最佳
2024-9-8 15:57,来自江苏,cv已经卷成麻花了，导师要是牛逼另当别论
2024-3-28 9:25,来自重庆,dd
2024-9-12 12:40,来自湖南,gap中
2024-8-22 22:05,来自山西,h哈哈红红火火恍恍惚惚哈哈哈哈哈哈
2024-6-15 19:57,来自广东,md 黑心公司！
2024-6-7 8:37,来自甘肃,ppt模板刚需了
2024-5-27 8:21,来自湖南,TM的 很多专业就不该在本科阶段开 尤其是文科
2024-3-27 22:21,来自河北,up
2024-3-27 22:07,来自山东,up
2024-6-9 13:49,来自山东,x上的立挡一直劝人学计算机
2024-3-27 22:07,来自黑龙江,🆙
2024-9-11 22:05,来自贵州,👍
2024-5-26 19:18,来自四川,😂
2024-8-13 13:32,来自浙江,阿姨，我们喜欢听你讲以前的故事，
2024-8-13 12:50,来自浙江,阿姨记忆精准。1997年亚洲金融危机，中国经济又往下走，1998年毕业生就业选择不多，好工作岗位很少（幸运的是大学扩招是97年启动的，1998年大学毕业生还不多）。 熬到2001年中国入世，宏观经济开始往上走，贸易、金融、公务员扩张、基建、房地产，行行业业开始了轰轰烈烈的经济二十年大发展
2024-7-17 11:48,来自江苏,啊
2024-5-26 20:29,来自上海,啊？那我退学还来得及吗
2024-8-9 21:22,来自北京,啊啊啊啊啊啊啊啊啊啊
2024-7-25 10:49,来自陕西,啊啊啊救命
2024-7-25 13:41,来自天津,啊哈哈哈
2024-5-16 21:34,来自四川,哎
2024-7-12 22:40,来自吉林,哎
2024-5-16 21:34,来自江西,哎，可怜
2024-5-26 22:47,来自广东,哎，其实多多少少都是对读研能改善自己未来生活抱有一点期待才去考的，纯为了逃避就业跑去读研的人其实很少
2024-5-16 22:02,来自江苏,唉 收入还比工业界低很多很多
2022-5-9 10:52,来自河北,唉，外卖，快递，滴滴都可以安排这些人
2024-6-5 18:47,来自天津,唉，央企下属三级公司，目测没几个月就要黄了，年龄快40了，找工作真的难
2024-9-8 0:01,来自江苏,艾梭他们也是这个路子，人家还请了大禅师呢！
2024-1-30 0:18,来自安徽,安徽周围省份有没有可以挂靠执医不查社保的地方
2024-7-1 23:46,来自山东,按交社保统计就业率比较合适/升学的除外。
2024-7-6 10:21,来自江苏,按现在的大学专业培养出来的毕业生至少一半是无用的，是天之废才，不是天之骄子。如果再往上推，其实现在的大学老师如果离开大学，送到社会上恐怕大多数也是混不上饭吃，他们怎么可能教出有本事的学生呢？
2024-8-27 19:34,来自湖北,把失业说的这么冠冕堂皇，真的是……
2024-6-8 1:35,来自江苏,把因果关系搞错了吧，是一群人莫名其妙的放着钱不赚就是赖着不去上班吗，人人也不是傻子。而且，把人放置在合适的位置上这个工作就不应该是个体来做，个体应该做的就是激流勇进，把宏观问题的失调转移到个人的身上是不是太不讲道理了
2024-9-15 7:03,来自安徽,包河区教体局招这么多干啥？初中老师？去未来的估计过不了几年又要重新找工作了
2024-4-11 7:58,来自中国,宝 你不读博吗
2024-5-9 22:08,来自广东,宝宝好会写
2024-5-11 22:38,来自山东,宝宝好会写抱抱
2024-5-9 23:06,来自广东,宝宝很棒的
2024-6-3 14:04,来自陕西,宝宝你超棒的！！
2024-5-26 20:32,来自广东,豹哥，你学历高，我觉得你可以跟我一起去香港卖保险
2024-5-27 13:48,来自广东,豹哥打算干啥
2024-5-27 9:41,来自四川,豹哥自媒体就是你的工作啊！
2024-7-13 14:48,来自陕西,北大考古专业不如咱西南城角的西北大学
2024-7-13 23:35,来自北京,北大清华无论什么专业就业率100%，太正常了，只有零就业才是热搜
2024-7-3 13:47,来自河南,被救业
2024-7-2 22:00,来自浙江,被就业
2023-2-1 19:43,来自北京,本海本海硕人本硕加一起才4.5年，就感觉挺赶的 不过24岁就有一年多工作经验还是很爽！更加不怕试错了
2024-9-8 22:43,来自浙江,本汉语言文学师范现在在没当老师 在当牛做马
2024-5-28 14:40,来自英国,本混子毫无学术热忱就想去米国读个水硕打工
2024-5-17 2:18,来自江苏,本科别院的老师这几天自杀了，然后很快传出学生试图自杀被拦下的消息。
2024-5-27 14:05,来自江苏,本科的退休金更高呢
2024-5-26 8:38,来自安徽,本科考研不算失业率。考研出来不上班就失业了
2024-5-26 16:51,来自广西,本科生还不如大专生
2024-5-26 19:27,来自广西,本科生有工作就行 研究生还要看离家进不进 钱多不多 有没有编 累不累 反正医院就是这样
2024-3-12 19:52,来自河北,本来就是社会很残酷。
2024-5-26 22:46,来自澳大利亚,本人就是一个三流医学院校考研到了顶流985院校，然后把985院校当作跳板，来了QS top50的院校，
2024-9-8 19:26,来自上海,本视觉人现身说法，今年视觉岗位很少，基本都大模型了，我面到现在只收到了一个视觉岗位的面试
2024-5-27 18:50,来自上海,本校研究生人数高于本科生人数
2024-5-30 11:22,来自上海,比较正常。但是主观想一直工作，能不能工作到60，就很难说了吧？
2024-9-14 14:02,来自江苏,比亚迪吸收这么多
2024-9-12 22:34,来自四川,笔译人来了，刚毕业做过一年市场营销，现在在厂里做项目管理
2024-5-27 20:29,来自江苏,"鄙人有一点看法，高学历也要高技能，比如本地高校给学生的电子套件居然有Lm319调压电路，几十年的古董电路了，现在很几乎是DC-Dc,美其名曰说这个是基础，实际上教材滞后于社会十几年，这些落后的东西学生毕业就失业。隔壁苏大电子信息还让学生组装8管超外查收音机，现在老年人都是数显插卡收音机。"
2024-7-13 10:31,来自山东,鄙人正直新闻法学专业最热门的时候读的大学本科，985，211，还是什么国家基地班，一堆的牌子，毕业之后放眼过去，真正干记者的女同学，寥寥无几。当时也参加过几次招聘会，想着跟招聘人员拉近关系，有时候帮他们整理一下简历，他们要求把简历分成四类，男党，男的，女党，女的。后面两类都不带走。
2024-4-10 21:05,来自安徽,毕业两年还没工作 已经死透了
2024-6-21 15:15,来自陕西,毕业荣耀时刻的祝福
2024-4-10 21:06,来自浙江,毕业生能不能出来就鼠啊
2024-7-3 10:33,来自辽宁,毕业生融入社会才会有社会价值，建设国家。指导学生融入社会才是正道
2024-5-13 23:54,来自浙江,毕业早的人也没领到
2024-8-29 20:47,来自北京,闭环
2024-8-29 9:18,来自广西,闭环了稳中向好
2024-7-12 23:34,来自广东,彪形大汉律师在此.................
2024-7-12 23:41,来自天津,彪形大汉能镇得住场的，这个想起来药家鑫案律师和马某约架。
2024-5-30 16:23,来自重庆,别当真
2024-9-12 11:50,来自北京,别急，就业市场有时候就像过山车，说不定转角就遇到爱。多投简历，多刷刷网，机会总是有的。另外，炒粉炒饭也是个不错的选择
2024-5-26 23:12,来自陕西,别纠结姐妹 我就是三本 今年上岸双非一本 已经28了 有娃有家庭 工作稳定 稳定的穷 一个月到手3700 双休 啥福利都有 还有寒暑假  但是我不愿意啊 3700根本不够花 我也没想着毕业以后挣个2万8  一个月挣个7400 比我现在工作多一倍总成吧 实在不行6000好点的单位也可以啊 人生还有好几十年呢 多经历才是好
2024-7-31 9:24,来自中国香港,别考了。不是你上了研究生就能找到比现在好很多的工作的。不如在目前的岗位上提升自己等待机会。以及，想办法让你爹后妈给个首付。河南三四线二十多万就能买套二手啊，先买个老破小住进去也行，房价跌也跌不了多少。
2024-5-27 20:24,来自广东,别乱带节奏
2024-6-27 5:16,来自吉林,别那么自卑
2024-5-26 21:15,来自湖北,别让我焦虑了
2024-6-3 6:20,来自湖北,"别太离谱 老铁 <span class=""url-icon""><img alt=[doge] src=""https://h5.sinaimg.cn/m/emoticon/icon/others/d_doge-be7f768d78.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[doge] src=""https://h5.sinaimg.cn/m/emoticon/icon/others/d_doge-be7f768d78.png"" style=""width:1em; height:1em;"" /></span>"
2024-6-21 1:13,来自湖北,别学药学，真的
2024-6-3 13:12,来自北京,别再说孔乙己的长衫了，现在让我穿黑丝包臀裙都行了
2024-5-26 20:19,来自天津,并没有 研究生也只想稳定就行
2024-7-20 22:15,来自上海,博闻强记倒是不假，他的视频是天文地理无所不知的，本质俗人一个，还卖力带货！
2024-7-13 21:06,来自河南,博主多多更新啊
2024-6-24 11:11,来自河北,博主恐怕对律师行业知之甚少
2024-7-1 20:14,来自云南,不错
2024-7-25 11:19,来自广东,不错，让每一个学生都变成范进，这个社会就没有失业人员了。。。
2024-7-25 11:31,来自广东,不错，有担当
2024-8-29 9:58,来自浙江,不错，自力更生
2023-4-25 9:15,来自福建,不打算从事研究工作的人读研简直是浪费生命
2024-5-26 18:00,来自浙江,不懂怎么会难，因为本科生愿意进厂打螺丝，研究生不愿意吗
2024-5-28 0:07,来自韩国,不读研怎么去北京？
2024-7-13 12:40,来自山西,不高
2024-7-13 12:40,来自福建,不高，找不到工作
2024-6-25 12:01,来自四川,不过话说回来，化工行业出事情基本上都是群死群伤，有时候人都找不回来。虽然这今年一季度事故起数跟死亡数双下降。但重大事故隐患里面化工占一半，所以大家找工作的时候务必找大点的化工厂，至少制度齐全，安全标准化还算靠谱，日常检维修也能到位
2024-9-1 11:40,来自北京,不过既然最后是唯一一个…也说明老师那边数字能写到98～99了，这个总数过得去，应该也不会有老师想难为孩子的
2024-7-25 10:52,来自江苏,不会，我也看好他
2024-3-12 16:05,来自河南,不会，现在硕士去哪都很多，只要工资OK就行
2024-5-27 19:22,来自江苏,不会，因为读了才知道有多难受
2024-7-1 11:16,来自河南,不交就业协议，不让你领毕业证
2024-3-28 9:34,来自湖北,不考公考编去私企拿4000 5000的工资 交最低的社保 义务加班 单休 等着猝死吗？？？？
2024-5-27 11:19,来自山东,不去读研是他们不想吗？能读研肯定优先读
2024-5-26 21:35,来自四川,不认同，本科生一样难哈，整个市场都是不缺劳动力。
2024-5-26 21:33,来自河南,不如把社会福利待遇提一提 都有五险一金的话 哪里还有就业难呢
2024-7-30 23:32,来自北京,不如攒点经验跳槽去好点的厂
2024-9-11 17:26,来自海南,不杀人不放火，不伤害社会，直播就直播吧，时代产物。娱乐罢了，没必要大惊小怪。
2024-6-19 22:20,来自浙江,不是不懂，是不想懂。
2024-7-13 18:28,来自山东,不是大专就业率高嘛
2024-5-26 22:50,来自湖北,不是老婆养你
2024-5-27 13:16,来自广东,不是说非要找工作上班不可的。要知道深圳的高中生能考上深大的也就百分之十，博主已经很厉害了
2024-6-21 18:26,来自江苏,不是找不到，是嫌不好。
2024-6-8 18:08,来自广东,不说了，我去日本找工作了，微博注销
2024-9-12 22:19,来自江苏,不讨厌做老师的可以考虑江苏这边，感觉还行。
2023-3-10 15:45,来自辽宁,不挑肥拣瘦，难不成去送外卖？那还读什么大学？读大学不就是为了有更好的生活么？
2024-7-31 8:32,来自上海,不需要跳出舒适圈。怎么舒服怎么过
2024-6-24 12:52,来自甘肃,不要复读
2024-7-10 15:21,来自广东,不要回来
2024-7-2 8:21,来自广东,不要蕉绿
2024-6-20 14:36,来自福建,不要选管理类毕业即失业
2024-6-20 14:36,来自福建,不要选管理类毕业即失业
2024-6-20 14:30,来自江苏,不要学小语种不要学小语种不要学小语种不要学小语种不要学小语种不要学小语种不要学小语种不要学小语种不要学小语种不要学小语种不要学小语种不要学小语种不要学小语种不要学小语种不要学小语种不要学小语种不要学小语种不要学小语种不要学小语种不要学小语种不要学小语种不要学小语种不要学小语种
2024-9-13 18:52,来自广东,不要在那制造焦虑了，好吗？
2024-5-26 19:53,来自广东,不应该本科被强行交就业协议嘛
2024-7-1 9:51,来自广东,不用10年，这些都已经再来的路上了
2023-2-1 19:28,来自山东,不用调整，熬就行啦
2024-5-26 20:35,来自四川,不愿意脱下孔乙己的长衫罢了
2024-6-8 9:46,来自浙江,不着急 现在回村干点啥都能年入百万
2024-5-26 18:29,来自北京,不知道啊
2024-7-30 21:09,来自黑龙江,不知道读研算不算一种围城，反正我在读，很烦很焦虑很后悔，现在就等毕业赶紧跑路…如果能找到比较满意的工作应该会比读研好吧
2024-5-27 16:47,来自河南,不止是这个问题。还有用人企业觉得我们这小破活，怎么可能留得住研究生，来了干不了多久也得走，还得重新招人，还不如直接招别人
2024-5-27 0:33,来自甘肃,"猜你在搜：生化环材<span class=""url-icon""><img alt=[泪] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_lei-4cdf6ee412.png"" style=""width:1em; height:1em;"" /></span>"
2024-5-27 7:45,来自浙江,"策划不错<span class=""url-icon""><img alt=[doge] src=""https://h5.sinaimg.cn/m/emoticon/icon/others/d_doge-be7f768d78.png"" style=""width:1em; height:1em;"" /></span>明天就拍"
2024-5-26 19:00,来自山东,产业升级并没有升级到都需要研究生才能干的地步
2024-9-12 12:45,来自日本,炒飯炒粉送論文查重中英互譯千字20滿50-30多買多送走過路過不要錯過。
2024-7-13 19:53,来自广东,诚信友善？
2024-7-9 15:14,来自浙江,崇洋媚外的心态在作祟。
2024-8-31 12:31,来自广东,仇恨全世界
2024-3-4 22:58,来自山东,出国读个研能不能好点？
2023-4-25 9:16,来自河南,除了真心喜欢科研的，普通人读到本科最合适了。刚好最好的青春年华闯荡社会。
2024-7-25 14:32,来自河南,传递信息微平台
2024-9-11 19:08,来自内蒙古,传奇~！
2024-9-11 10:34,来自广东,创造不了实体价值，危机来临时最先倒闭的就是这些
2024-5-26 23:29,来自江西,词条好像被锁了
2024-4-11 10:21,来自江苏,从去年开始参加银行校招 就是被各种打击（本国贸专业的小咔拉米）农行面试面对一些985/211的竞争对手 争夺一个南京犄角旮旯城区的柜员我想不通我实在想不通其次朋友身边全是非财经专业的人被银行录取了银行什么时候可以专业限制一下 给财经🐶一点出路
2024-6-24 22:37,来自黑龙江,从小到大国际学校当然没有国内重高985公派留学好
2024-5-27 10:05,来自内蒙古,打卡
2024-5-26 22:47,来自四川,大部分双非院校会不会不适合培养
2024-5-27 10:59,来自北京,大部分研究生出来也不适合搞高精尖，一般的岗位也看不上的吧，有种高不成低不就的感觉。现在很多公司要的都是有经验的，学历只是一个筛选器，如果资历够好，学历也就没啥太大作用。
2024-5-26 23:27,来自上海,大部分研究生做的活本科生也能做
2024-5-26 22:33,来自浙江,大多数研究生找工作还是想和本科生有区分度罢了
2024-6-26 21:17,来自重庆,大哥你说的是化学吧，化工和化学是不一样的，虽然也要学很多化学，但是还要学设备仪表这些。你说的大部分都是对的，但是对化学感兴趣的建议学应用化学做实验分析，如果你化学物理都还能学懂，分又不高，家庭条件一般，化工可以。学化工进厂的都要倒班
2024-6-12 9:16,来自青海,大环境真的很差了，刚出去玩，跟民宿老板聊，说疫情前每年营收800W，今年预计200-300w
2024-7-25 10:39,来自广东,大家都不结婚都不生娃，那就来读书
2023-4-25 9:26,来自福建,大家读研之前把自己简历修改成研究生学历，直接招聘网上先找找工作，探探实际行情，千万不要盲目考研了，把考研当成一种投资，如果回报比太低建议直接去找工作，除了家里有钱无所谓。
2024-2-18 21:02,来自河南,大家开学给导师们带礼物了吗 送礼物有什么好作业可以抄一下吗家人们
2024-3-4 20:14,来自江苏,大衰退大萧条之下、失业潮来临，高学历找不到工作很正常
2024-2-6 1:34,来自上海,大头专硕毕业有几篇文章啊 好焦虑 写出来的综述被老板骂惨了 而且审稿时间巨长
2024-7-11 21:01,来自北京,大学毕业实际上和就业是两个事情的。大学教育只是延迟了就业，到了一定年纪，都会就业的。社会提供的岗位，现在与大学教育是两个赛道的。
2023-3-11 1:13,来自天津,大学扩招太多了，搞得和义务教育一样，缩减十倍，立刻好很多，完全搞不懂为什么大学要不断扩招。
2024-9-14 8:25,来自河南,大学生很多都是迷茫 没有方向的，特别是一般的大学
2024-6-9 3:58,来自辽宁,大学一定要好好锻炼身体，万一毕业了要参加铁人三项呢
2024-6-8 6:23,来自江苏,大专比硕博就业率高，说明还是挑。普通一本理工科，不嫌累，不嫌工资低，找份工作还是没问题的。
2024-3-12 23:50,来自山东,大专快乐多了
2024-5-26 19:22,来自辽宁,待遇要求低一点就可以了
2024-7-6 9:22,来自北京,但是很多农学的同学都是在做种子化肥销售啊
2023-4-9 12:23,来自湖南,但是他吃很多
2024-9-14 19:35,来自湖北,但是他们真的比大多数打工人挣得多啊
2024-6-12 16:46,来自安徽,但我们公司很多人都毁约了啊应届生毁约，看不上我们公司。而且都是非常普通的二本，也不是好大学。我感觉工科生还是好找工作的吧。
2024-6-22 14:31,来自广东,当年我高考要学兽医，我家非不同意，硬让我选了个看起来高大上的生物技术，想想就生气啊啊啊
2024-5-27 8:09,来自山西,当全职网红
2024-5-26 23:49,来自浙江,当然是因为太老了干有些活力不从心（我说自己💩）
2024-5-26 23:25,来自安徽,当时刚好遇上疫情，没找工作就去考研了
2024-8-31 0:40,来自江苏,当下大学生就业现状  女孩子做直播，饿了就点外卖 男孩子送外卖，累了就看直播。 /@其他用户 :完美闭环
2024-5-26 20:51,来自江苏,当雅思老师
2024-7-13 14:18,来自河南,刀哥，最近一期你的西安经历给我启发很多。就算是金牛刀，也会被宰，我感觉花钱很坦然了
2024-5-31 11:21,来自湖北,到底是本科毕业还是研究生毕业。据我所知这两个学历好像没法同时进修把？
2024-6-24 8:22,来自广西,到祖国最需要的地方
2024-5-27 1:03,来自河南,道理都懂，但是，大环境就是这样，不是说读了出来能有多厉害，而是不读，连达到想进的用人单位门槛都达不到。去读的绝大部分都是家庭条件好的，本身就有一定资源，达到学历门槛儿后好就业，正儿八经能考上去读的，大部分都不傻
2024-5-26 8:41,来自广西,低工资适合低学历呗
2024-6-8 13:23,来自天津,滴滴，外卖都已经饱和了！
2024-5-10 0:50,来自湖北,第一段话真的深有感触
2024-9-2 12:09,来自内蒙古,典型的不务正业的说不务正业是对的，我也挂过，我从来不认为我哪科挂的对
2024-3-27 22:04,来自江西,顶顶
2024-3-27 22:03,来自江苏,顶顶
2024-3-28 9:23,来自山东,顶顶
2024-3-28 9:26,来自陕西,顶顶
2024-3-27 22:19,来自河北,顶顶顶
2024-5-27 9:20,来自江苏,定位准确才是正道  这山盼着那山高
2024-6-22 13:32,来自辽宁,动医门槛是低，但是薪资福利社会地位都差好多，不能只看就业率，兽医尤其女兽医转行的特别多。我个人觉得牙医和眼科医生比较好。
2024-5-26 15:36,来自山东,都不高！
2024-6-11 23:44,来自安徽,都去同情大学生，谁来同情我们
2024-9-8 15:59,来自安徽,都是 CJB
2024-3-12 16:02,来自浙江,都一样啦，工资合适就行
2024-5-26 18:58,来自北京,读博士更是如此
2024-6-30 14:35,来自辽宁,读大学的人也会减少，没什么用，上大学无非就是就业赚钱，我楼下卖生鲜的我觉得就挺好用毛线学历，也没人和他竞争，位置比较偏你爱买不买就这一家，有个事干足够了
2024-5-26 19:13,来自福建,读了三年出来，发现就业环境还不如本科毕业时候，尤其是考公好卷
2024-3-12 17:37,来自湖北,读书的最终目的是为了找一份舒服的工作，不是反过来拿学历折磨自己。难道你硕士考上了公务员就不去基层了吗……?
2022-9-3 10:33,来自北京,读书至上惹得祸，学历至上惹的祸。全世界任何一个国家都不需要这么多大学生。可怜了这些孩子，家长砸锅卖铁寄予厚望考上大学，这些学生没错，可是社会病了，这些学生要承担这个后果。
2024-9-8 16:31,来自河北,读完大家的指导 悬着的心终于死了 如果想进体制内有没有什么学校或者路径推荐 谢谢大家
2024-5-27 23:32,来自四川,读完了，十年了
2024-5-27 9:00,来自广东,读研本身就是为了就业，但是对于企业来说，多数读研学到的东西是没用的，那干嘛不招本科生，年轻又可以给更少钱
2024-5-26 19:01,来自北京,读研并不能增加就业岗位
2024-1-30 0:18,来自湖南,读研读到一半退学可以去干啥？
2024-5-27 0:34,来自北京,读研和不读研的区别还是很大的，研究生毕业后能多出2万多的债
2024-3-5 15:42,来自安徽,读研既是执念也是围城!人一旦动了考研的念头除非考上否则会很难放下!
2024-5-26 18:30,来自福建,对啊
2024-7-25 14:40,来自湖北,对啊
2024-7-25 10:31,来自甘肃,对啊 多读一年难道就能提高就业率吗
2024-6-11 23:54,来自陕西,对啊，现在想换工作都难，我就跟我同事说，咱们这会的有几年经验的都这么难，应届生可咋活啊
2024-5-26 18:27,来自江苏,对的，是这样的
2022-7-30 0:56,来自广东,对对对
2022-7-30 1:25,来自广东,对对对
2024-7-13 13:00,来自安徽,对历史政治语文不感冒的报道，每次考试都惆怅，但文科的地理成绩很好
2024-6-8 13:26,来自广东,对小镇少年而言，不上大学他们只能去工厂打螺丝……上了大学至少不需要再去工厂流水线当机器人了
2024-5-26 18:31,来自山东,对呀是这样的
2024-9-12 12:46,来自广东,蹲
2024-7-25 10:09,来自广西,多读一年仍然毕不了业你就老实了
2024-7-3 10:32,来自辽宁,多给孩子们点空间，磨刀不误砍柴工
2024-5-16 22:02,来自上海,多踢球喝点酒
2024-7-25 11:10,来自河北,多玩一年，总比上班舒坦
2024-6-24 13:35,来自重庆,饿不死，看能力可能小康偏上
2024-8-27 19:01,来自北京,嗯，接纳
2024-6-5 20:19,来自广东,嗯但是我读医
2024-3-27 22:10,来自山东,嗯嗯
2024-7-25 10:10,来自湖北,嗯嗯 是这样
2024-5-26 20:14,来自北京,"嗯哈<span class=""url-icon""><img alt=[doge] src=""https://h5.sinaimg.cn/m/emoticon/icon/others/d_doge-be7f768d78.png"" style=""width:1em; height:1em;"" /></span>"
2024-9-8 0:11,来自内蒙古,而俺们英专生（特指我）be like：炒粉/炒饭/英译汉/汉译英.jpg
2024-5-26 19:27,来自北京,而且学的越精，就业范围越窄
2024-7-13 13:23,来自安徽,二军医也有考古？
2024-8-10 16:42,来自辽宁,放低身段，出国打工，海阔天空。
2024-7-25 15:20,来自四川,放屁
2024-3-12 16:02,来自湖北,肺腑：真的很亏，评职称没有优势，职业天花板低。
2022-5-9 11:16,来自广东,分到大a来，需要大量韭菜
2022-5-9 11:14,来自山西,分到每个城市还得租房。
2024-9-10 22:47,来自江苏,否则怎么变成新闻呢
2024-5-27 11:24,来自浙江,服了，到底谁弄的啊
2024-6-24 13:29,来自北京,敢问投了什么岗？
2024-7-25 10:00,来自中国香港,感觉多学一年压力也很大呀
